id,brand_model,rating_year,stars,adult_pct,child_pct,vru_pct,sa_pct,adult_points,adult_max_points,child_points,child_max_points,vru_points,vru_max_points,sa_points,sa_max_points,total_points,total_max_points,total_points_ratio,official_weighted_score,year_bucket,P_weighted,weights_used_sum,Subscore35,SafetyRaw,SafetyScore,manufactured_from,manufactured_to,on_sale_from,on_sale_to,variants,energy_sources,is_current_model,is_conventional_only,superseded_model_count,fitted_autonomous_emergency_braking,fitted_lane_support_system,image_url,manufacturer_icon,safety_rating_image_path,vehicle_url_api,vehicle_url_view,manufacturer_model_url,tags
dcd4fa,Tesla Model 3,2025,5,90,95,89,88,36.38,40,46.6,49,56.17,63,15.91,18,155.06,170,0.91211765,0.90909932,2023p,0.9761423529411765,170,63.44925294117647,98.44925294117647,100,Sep-23,onwards,Sep-23,onwards,All variants,Battery electric,TRUE,FALSE,1,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/ca5b5f8326846eae6f3dfd1653b92fa03c470200/large.png?1747716215,https://www.ancap.com.au/assets/manufacturers/small/tesla-2c4a37acec15f0c97e7f01eb30a82dcf560d290f86cbbd37365749fd1adf125f.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2025-997c7985fb400255a9ba79b38521ba860901a2b17b1167e1fa6249c0cf799600.png,https://api.ancap.com.au/v1/safety-ratings/dcd4fa,https://www.ancap.com.au/safety-ratings/dcd4fa,https://www.ancap.com.au/safety-ratings/tesla/model-3,"category.popular_models,category.family,category.younger_driver,category.older_driver,category.city_driver,category.tradesperson,category.fleet_manager,category.employer,body_type.sedan,price.35000_to_65000,price.over_65000,seats.5_seater"
ad5601,Tesla Model Y,2025,5,91,95,86,92,36.52,40,46.62,49,54.38,63,16.65,18,154.17,170,0.90688235,0.91312063,2023p,0.9709811764705885,170,63.11377647058825,98.11377647058825,99.02290940029314,Feb-25,onwards,May-25,onwards,All variants exc. Model Y L,Battery electric,TRUE,FALSE,1,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/49cf3aff1babc63fed4ef4fbf5529d4922f37b0c/large.png?1763509167,https://www.ancap.com.au/assets/manufacturers/small/tesla-2c4a37acec15f0c97e7f01eb30a82dcf560d290f86cbbd37365749fd1adf125f.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2025-997c7985fb400255a9ba79b38521ba860901a2b17b1167e1fa6249c0cf799600.png,https://api.ancap.com.au/v1/safety-ratings/ad5601,https://www.ancap.com.au/safety-ratings/ad5601,https://www.ancap.com.au/safety-ratings/tesla/model-y,"category.popular_models,category.family,category.younger_driver,category.older_driver,category.city_driver,category.fleet_manager,category.employer,body_type.suv,body_type.awd,price.35000_to_65000,price.over_65000,seats.5_seater"
4c6598,Leapmotor B10,2025,5,93,95,84,86,37.29,40,47,49,53.04,63,15.65,18,152.98,170,0.89988235,0.90700658,2023p,0.9609552941176471,170,62.46209411764706,97.46209411764707,97.12485467,Sep-25,onwards,Nov-25,onwards,All variants,Battery electric,TRUE,FALSE,0,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/b0437cdf8c616008bba1f7857244aeeaec415fe5/large.png?1770097874,https://www.ancap.com.au/assets/manufacturers/small/leapmotor-36cdd2d442270368a2a698082412b20c1dc330f6192d07c477b38b819ddea7d1.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2025-997c7985fb400255a9ba79b38521ba860901a2b17b1167e1fa6249c0cf799600.png,https://api.ancap.com.au/v1/safety-ratings/4c6598,https://www.ancap.com.au/safety-ratings/4c6598,https://www.ancap.com.au/safety-ratings/leapmotor/b10,"category.family,category.older_driver,category.city_driver,category.fleet_manager,category.employer,price.35000_to_65000,seats.5_seater,body_type.suv"
413faa,Mercedes-Benz E-Class,2024,5,92,91,84,88,37.09,40,45.06,49,53.21,63,15.97,18,151.33,170,0.89017647,0.90118345,2023p,0.9505447058823532,170,61.785405882352954,96.78540588235296,95.15396916607652,Aug-23,onwards,Jan-24,onwards,All variants exc. AMG (see ANCAP Technical Report),Petrol / diesel,TRUE,TRUE,5,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/85d6fb95a28c19661a079025f56817aa05bf290b/large.png?1755046437,https://www.ancap.com.au/assets/manufacturers/small/mercedes-benz-e77b2c8ebc765c6efef479ecc989fa49ba959a9a19a44f8687fc88ae0cc0d2e4.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2024-c6164fac702658394851ade2462c3593ebea4131b5f9c00875bcc1784ca49bc0.png,https://api.ancap.com.au/v1/safety-ratings/413faa,https://www.ancap.com.au/safety-ratings/413faa,https://www.ancap.com.au/safety-ratings/mercedes-benz/e-class,"category.older_driver,category.city_driver,category.fleet_manager,category.employer,category.luxury,body_type.sedan,price.over_65000,seats.5_seater"
39082b,Volvo EX90,2025,5,92,94,82,84,36.94,40,46.54,49,52.24,63,15.25,18,150.97,170,0.88805882,0.8946449,2023p,0.9469835294117647,170,61.553929411764706,96.55392941,94.47978333,Dec-24,onwards,Mar-25,onwards,All variants (see Technical Report),Battery electric,TRUE,FALSE,0,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/82a6a2f56858bdefcd78d5025783c979ec6da496/large.png?1763599703,https://www.ancap.com.au/assets/manufacturers/small/volvo-76755f577091173cc96906ade329dbb87be4b1cf6e69b7ae73561a93f74106cb.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2025-997c7985fb400255a9ba79b38521ba860901a2b17b1167e1fa6249c0cf799600.png,https://api.ancap.com.au/v1/safety-ratings/39082b,https://www.ancap.com.au/safety-ratings/39082b,https://www.ancap.com.au/safety-ratings/volvo/ex90,"category.family,category.older_driver,category.city_driver,category.fleet_manager,category.employer,category.luxury,body_type.suv,body_type.awd,price.over_65000,seats.7_seater"
8b72cd,Mercedes-Benz CLE Coupe,2025,5,93,86,87,84,37.38,40,42.43,49,55.27,63,15.24,18,150.32,170,0.88423529,0.89177732,2023p,0.9454176470588236,170,61.452147058823535,96.45214705882353,94.18333756509111,Oct-23,onwards,Jan-24,onwards,All variants,Petrol / diesel,TRUE,TRUE,0,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/de8b638ef0dc5e52eae55fa163e6aaf01afab9cc/large.png?1770171733,https://www.ancap.com.au/assets/manufacturers/small/mercedes-benz-e77b2c8ebc765c6efef479ecc989fa49ba959a9a19a44f8687fc88ae0cc0d2e4.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2025-997c7985fb400255a9ba79b38521ba860901a2b17b1167e1fa6249c0cf799600.png,https://api.ancap.com.au/v1/safety-ratings/8b72cd,https://www.ancap.com.au/safety-ratings/8b72cd,https://www.ancap.com.au/safety-ratings/mercedes-benz/cle-coupe-7861a424-4d5f-44ce-9bf2-01297f4e5bb9,"category.older_driver,category.city_driver,category.fleet_manager,category.employer,category.luxury,body_type.awd,price.over_65000,seats.4_seater,body_type.coupe"
e9400f,BYD SEAL 6,2025,5,92,90,84,84,36.9,40,44.31,49,53.05,63,15.22,18,149.48,170,0.87929412,0.88738095,2023p,0.9429152941176471,170,61.28949411764706,96.28949411764705,93.70960341747848,Apr-26,onwards,May-26,onwards,All variants,Plug-in hybrid,TRUE,FALSE,0,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/26992e0fb2f9d43659afe7b188eb096c84e4e256/large.png?1777941381,https://www.ancap.com.au/assets/manufacturers/small/byd-ddfb68db4046218b9ee4a3bc429d6824ab6c3b6456aae92a6b61865f2addc89e.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2025-997c7985fb400255a9ba79b38521ba860901a2b17b1167e1fa6249c0cf799600.png,https://api.ancap.com.au/v1/safety-ratings/e9400f,https://www.ancap.com.au/safety-ratings/e9400f,https://www.ancap.com.au/safety-ratings/byd/seal-6,"category.popular_models,category.family,category.older_driver,category.city_driver,category.fleet_manager,category.employer,body_type.sedan,body_type.wagon,price.35000_to_65000,seats.5_seater"
eaecda,Tesla Model Y L,2025,5,91,84,86,92,36.52,40,41.4,49,54.38,63,16.65,18,148.95,170,0.87617647,0.89181451,2023p,0.9393905882352942,170,61.06038823529412,96.06038823529411,93.04232203231281,Feb-26,onwards,Mar-26,onwards,"Model Y L (six seat, three row)",Battery electric,TRUE,FALSE,0,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/dc186e9a4fffb1210b78a90bd0e4f2cd7ddff41f/large.png?1777943983,https://www.ancap.com.au/assets/manufacturers/small/tesla-2c4a37acec15f0c97e7f01eb30a82dcf560d290f86cbbd37365749fd1adf125f.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2025-997c7985fb400255a9ba79b38521ba860901a2b17b1167e1fa6249c0cf799600.png,https://api.ancap.com.au/v1/safety-ratings/eaecda,https://www.ancap.com.au/safety-ratings/eaecda,https://www.ancap.com.au/safety-ratings/tesla/model-y-l,"category.popular_models,category.family,category.younger_driver,category.older_driver,category.city_driver,category.tradesperson,category.fleet_manager,category.employer,category.luxury,body_type.suv,body_type.awd,price.over_65000,seats.5_seater"
bb4d51,MG U9,2024,5,91,89,84,85,36.78,40,44,49,53.13,63,15.38,18,149.29,170,0.87817647,0.88694739,2023p,0.9385094117647059,170,61.003111764705885,96.00311176470589,92.87550168602142,Jul-25,onwards,Sep-25,onwards,Diesel variants,Petrol / diesel,TRUE,TRUE,0,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/36691b1e7edc00d701354ad979bf784dc0dbe626/large.png?1758077619,https://www.ancap.com.au/assets/manufacturers/small/mg-64908a954f2375bfe93427a0a7639fe122f0f3e9a9f2e5e8e32d090836a8b44d.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2024-c6164fac702658394851ade2462c3593ebea4131b5f9c00875bcc1784ca49bc0.png,https://api.ancap.com.au/v1/safety-ratings/bb4d51,https://www.ancap.com.au/safety-ratings/bb4d51,https://www.ancap.com.au/safety-ratings/mg/u9,"category.family,category.rural_driver,category.tradesperson,category.fleet_manager,category.employer,body_type.awd,body_type.ute,price.35000_to_65000,seats.4_seater"
c00537,LDV Terron 9,2024,5,91,89,84,85,36.78,40,44,49,53.13,63,15.38,18,149.29,170,0.87817647,0.88694739,2023p,0.9385094117647059,170,61.003111764705885,96.00311176470589,92.87550168602142,Nov-24,onwards,Jul-25,onwards,Diesel variants,Petrol / diesel,TRUE,TRUE,0,standard,standard,https://s3.amazonaws.com/cdn.ancap.com.au/app/public/assets/76287a020cc1a75c70148612e8d1e32fb0432602/large.png?1756795950,https://www.ancap.com.au/assets/manufacturers/small/ldv-36f0a24f23fe6d2e9693b6f304d5c5c4f14b40d35759a19f3ac6cc70015dd8e9.png,https://www.ancap.com.au/assets/logos/ratings/star-rating-logo-5-2024-c6164fac702658394851ade2462c3593ebea4131b5f9c00875bcc1784ca49bc0.png,https://api.ancap.com.au/v1/safety-ratings/c00537,https://www.ancap.com.au/safety-ratings/c00537,https://www.ancap.com.au/safety-ratings/ldv/terron-9,"category.rural_driver,category.tradesperson,category.fleet_manager,category.employer,body_type.awd,body_type.ute,price.35000_to_65000,seats.5_seater,category.family"
